category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Flight Plan,What does this flight planning chart show?,Standard instrument departure,Enroute navigation chart,Standard terminal arrival,Weather minimums chart,1,/images/Flight Plan/site-1.jpg,This is a Standard Instrument Departure (SID) chart.
Flight Plan,When must a flight plan be filed for an IFR flight?,At least 30 minutes before departure,At least 1 hour before departure,At least 2 hours before departure,No specific time requirement,1,,IFR flight plans should be filed at least 30 minutes before departure.
IFR Comms,What phrase should be used to acknowledge an altitude assignment?,"Roger, climbing",Climbing to assigned altitude,Cessna 123AB climbing to 5000,"Wilco, climbing",3,,Always include aircraft identification when acknowledging assignments.
Mass And Balance,What does the term arm refer to in weight and balance?,Weight of an item,Distance from datum,Moment divided by weight,Center of gravity limit,2,,Arm is the horizontal distance from the reference datum.
OPS,What is the minimum equipment for day VFR flight?,Fuel gauge and oil pressure,Airspeed indicator and altimeter,Tachometer and oil temperature,All of the above,4,,FAR 91.205 specifies required instruments and equipment.
Performance,What factor most increases takeoff distance?,Headwind,Tailwind,Low temperature,Low humidity,2,,Tailwind significantly increases takeoff distance.
RNAV,What does RNAV stand for?,Area Navigation,Radio Navigation,Required Navigation,Regional Navigation,1,,RNAV stands for Area Navigation.
VFR Comms,How should you report position in the traffic pattern?,Downwind,Cessna 123AB downwind,Traffic pattern downwind,Position downwind,2,,Always include aircraft identification when reporting position.
IFR Comms,What does the term "EXPECTED APPROACH TIME" mean?,The holding time over the radio facility from which the instruments approach procedure for a landing will be initiated.,"The time at which ATC expects that an arriving aircraft, following a delay, will leave the holding point to complete its approach for a landing.","The time at which an arriving aircraft, upon reaching the radio aid serving the destination aerodrome, will commence the instrument approach procedure for a landing.",The time at which an arriving aircraft expects to arrive over the appropriate designated navigation aid serving the destination aerodrome.,2,,
IFR Comms,What does the term "BROADCAST" mean?,A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A radiotelephony transmission from ground station to aircraft in flight.,"A transmission containing meteorological and operational information to aircraft engaged in flights over remote and oceanic areas out of range of VHF ground stations.",A transmission where no reply is required from the receiving station.,1,,
IFR Comms,What does the term "CLEARANCE LIMIT" mean?,The time of expiry of air traffic control clearance.,The time after which air traffic control clearance will be automatically cancelled if the flight has not been commenced.,The time at which aircraft is given an air traffic control clearance.,"The point to which aircraft is granted an air traffic control clearance.",4,,
IFR Comms,What does the term "BLIND TRANSMISSION" mean?,A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A transmission from one station to another station in circumstances where two-way communication cannot be established but it is believed that the called station is able to receive the transmission.,A transmission where no reply is required from the receiving station.,A transmission of messages relating to enroute weather information which may affect the safety of aircraft operations that is not addressed to a specific station or stations.,2,,
IFR Comms,What does the abbreviation 'APV' mean?,approach protection vectors,approach procedures with vertical guidance,aerodrome precision visibility (monitoring system by observation),aerodrome precision visibility (automatic monitoring system),2,,
IFR Comms,ICAO defines the term instrument approach as follows:,"From the beginning of a defined arrival route to a point from which a landing can be completed and thereafter, if a landing is not completed, to a position at which holding or en-route obstacle clearance criteria apply.","From the initial approach fix to a point from which a landing can be completed, e.g. MDA or DA.",From the beginning of a defined arrival route to a point from which a landing can be completed.,"From the beginning of a defined approach to a point from which a landing can be completed and thereafter, if a landing is not completed, to an altitude of 1 500 ft above the aerodrome reference point.",1,,
IFR Comms,When flying in accordance with IFR, which of the following best describes the term ""VISUAL APPROACH""?",An approach executed by an IFR flight unable to maintain VMC.,A visual manoeuvre executed by an IFR flight when the weather conditions at the aerodrome of destination are equal to or better than required VMC minima.,An approach by an IFR flight when either part or all of an instrument approach procedure is not completed and the approach is executed in visual reference to terrain.,An extension of an instrument approach procedure to bring an aircraft into position for landing on a runway which is not suitably located for straight-in-approach.,3,,
IFR Comms,What rate of speech does ICAO recommend for radio communications? An even rate of speech not exceeding:,90 words per minute.,200 words per minute.,100 words per minute.,150 words per minute.,3,,
